,pos,split,synonym,word1,word2
0,verb,train,1,breathe,respire
1,verb,train,0,breathe,greet
2,verb,train,1,breathe,suspire
3,verb,train,0,breathe,excrete
4,verb,train,1,breathe,emit
5,verb,train,0,breathe,modulate
6,verb,train,1,breathe,rest
7,verb,train,0,breathe,fester
8,verb,train,1,respire,suspire
9,verb,train,0,respire,excruciate
10,verb,train,1,suspire,sigh
11,verb,train,0,suspire,metastasize
12,verb,train,1,burp,bubble
13,verb,train,0,burp,withdraw
14,verb,train,1,burp,belch
15,verb,train,0,burp,remediate
16,verb,train,1,burp,eruct
17,verb,train,0,burp,sympathise
18,verb,train,1,bubble,belch
19,verb,train,0,bubble,miniaturize
20,verb,train,1,bubble,eruct
21,verb,train,0,bubble,metrify
22,verb,train,1,belch,eruct
23,verb,train,0,belch,spiritualize
24,verb,train,1,belch,erupt
25,verb,train,0,belch,humidify
26,verb,train,1,belch,extravasate
27,verb,train,0,belch,clap
28,verb,train,1,eruct,spew
29,verb,train,0,eruct,revamp
30,verb,train,1,hiccup,hiccough
31,verb,train,0,hiccup,egress
32,verb,train,1,exhale,expire
33,verb,train,0,exhale,salivate
34,verb,train,1,exhale,emanate
35,verb,train,0,exhale,pace
36,verb,train,1,expire,die
37,verb,train,0,expire,circumnavigate
38,verb,train,1,expire,decease
39,verb,train,0,expire,masculinize
40,verb,train,1,expire,perish
41,verb,train,0,expire,deaminize
42,verb,train,1,expire,go
43,verb,train,0,expire,remove
44,verb,train,1,expire,exit
45,verb,train,0,expire,excerpt
46,verb,train,1,expire,pass
47,verb,train,0,expire,slur
48,verb,train,1,expire,conk
49,verb,train,0,expire,protrude
50,verb,train,1,expire,choke
51,verb,train,0,expire,char
52,verb,train,1,expire,croak
53,verb,train,0,expire,energise
54,verb,train,1,inhale,inspire
55,verb,train,0,inhale,perfuse
56,verb,train,1,inspire,revolutionize
57,verb,train,0,inspire,nap
58,verb,train,1,inspire,revolutionise
59,verb,train,0,inspire,lyophilize
60,verb,train,1,inspire,animate
61,verb,train,0,inspire,mellow
62,verb,train,1,inspire,invigorate
63,verb,train,0,inspire,refurbish
64,verb,train,1,inspire,enliven
65,verb,train,0,inspire,fort
66,verb,train,1,pant,puff
67,verb,train,0,pant,recover
68,verb,train,1,pant,gasp
69,verb,train,0,pant,tranquillise
70,verb,train,1,pant,heave
71,verb,train,0,pant,gestate
72,verb,train,1,puff,gasp
73,verb,train,0,puff,husk
74,verb,train,1,puff,heave
75,verb,train,0,puff,cocainize
76,verb,train,1,puff,chuff
77,verb,train,0,puff,poison
78,verb,train,1,puff,whiff
79,verb,train,0,puff,vascularise
80,verb,train,1,puff,draw
81,verb,train,0,puff,spiritualise
82,verb,train,1,gasp,heave
83,verb,train,0,gasp,winterise
84,verb,train,1,heave,gag
85,verb,train,0,heave,alcoholise
86,verb,train,1,heave,retch
87,verb,train,0,heave,choke
88,verb,train,1,heave,buckle
89,verb,train,0,heave,spat
90,verb,train,1,heave,warp
91,verb,train,0,heave,pule
92,verb,train,1,heave,heft
93,verb,train,0,heave,disqualify
94,verb,train,1,heave,billow
95,verb,train,0,heave,district
96,verb,train,1,hack,whoop
97,verb,train,0,hack,empathise
98,verb,train,1,hack,chop
99,verb,train,0,hack,delay
100,verb,train,1,hack,cut
101,verb,train,0,hack,dematerialize
102,verb,train,1,huff,snort
103,verb,train,0,huff,paralyze
104,verb,train,1,sniff,sniffle
105,verb,train,0,sniff,mechanise
106,verb,train,1,sniff,whiff
107,verb,train,0,sniff,detonate
108,verb,train,1,sniffle,snivel
109,verb,train,0,sniffle,change
110,verb,train,1,sniffle,blubber
111,verb,train,0,sniffle,realine
112,verb,train,1,sniffle,blub
113,verb,train,0,sniffle,mythologize
114,verb,train,1,blink,wink
115,verb,train,0,blink,urbanize
116,verb,train,1,blink,nictitate
117,verb,train,0,blink,mutilate
118,verb,train,1,blink,nictate
119,verb,train,0,blink,calm
120,verb,train,1,wink,nictitate
121,verb,train,0,wink,federate
122,verb,train,1,wink,nictate
123,verb,train,0,wink,sphacelate
